l_id;wkt_srid_4326;;;;;;;
l1;"SRID=4326;LINESTRING(9.52257601112577 52.3604090734199,9.11321011483187 52.5438533448625)";0.262099054;128.4285365;490;1;;-128.4285365;128.4285365
l2;"SRID=4326;LINESTRING(9.38974515063535 52.0263130791669,9.12526574244048 52.5382641233458)";0.015213;25.86210037;1700;1;;25.86210037;25.86210037
l3;"SRID=4326;LINESTRING(10.366274939217 52.2846467643429,9.91814868737007 52.3799963378317)";0.312647853;153.197448;490;1;;153.197448;153.197448
l4;"SRID=4326;LINESTRING(9.9171797569037 52.2781686248742,10.366274939217 52.2846467643429)";0.034382399;58.45007754;1700;1;;58.45007754;58.45007754
l5;"SRID=4326;LINESTRING(10.4149924241538 53.4126068813272,10.3787706356666 53.2197927695925)";0.187617223;637.8985586;3400;2;;-637.8985586;637.8985586
l6;"SRID=4326;LINESTRING(12.9416466491702 52.5621144028949,13.2061030014846 52.6571363047161)";0.062838863;30.79104296;490;1;;-30.79104296;30.79104296
l7;"SRID=4326;LINESTRING(13.2061030014846 52.6571363047161,13.709669749528 52.5397952998981)";0.290048845;142.123934;490;1;;-142.123934;142.123934
l8;"SRID=4326;LINESTRING(12.9416466491702 52.5621144028949,13.709669749528 52.5397952998981)";0.219598897;107.6034595;490;1;;-107.6034595;107.6034595
l9;"SRID=4326;LINESTRING(11.3704263094168 48.2914922548393,11.8132329291411 48.2212664672329)";0.314731786;154.2185753;490;1;;-154.2185753;154.2185753
l10;"SRID=4326;LINESTRING(11.3704263094168 48.2914922548393,11.868156362746 48.206802931481)";0.304860691;518.2631742;1700;1;;-518.2631742;518.2631742
l11;"SRID=4326;LINESTRING(10.7610404155909 52.3677293936344,10.366274939217 52.2846467643429)";0.113817789;193.4902421;1700;1;;193.4902421;193.4902421
l12;"SRID=4326;LINESTRING(13.4947634286677 52.5897644694349,13.6834769799404 54.1390906728297)";0.098217561;166.969854;1700;1;;166.969854;166.969854
l13;"SRID=4326;LINESTRING(13.4947634286677 52.5897644694349,13.709669749528 52.5397952998981)";0.134764192;229.0991259;1700;1;;-229.0991259;229.0991259
l14;"SRID=4326;LINESTRING(11.3704263094168 48.2914922548393,11.868156362746 48.206802931481)";0.304364152;517.4190592;1700;1;;-517.4190592;517.4190592
l15;"SRID=4326;LINESTRING(11.8132329291411 48.2212664672329,11.868156362746 48.206802931481)";0.102260856;100.215639;980;2;;100.215639;100.215639
l16;"SRID=4326;LINESTRING(11.3704263094168 48.2914922548393,11.2939727766244 48.0520427780619)";0.669682405;656.2887573;980;2;;656.2887573;656.2887573
l17;"SRID=4326;LINESTRING(9.98460987842098 53.7411288196703,10.1575057595216 53.5551266364644)";0.075147995;127.7515917;1700;1;;-127.7515917;127.7515917
l18;"SRID=4326;LINESTRING(9.98460987842098 53.7411288196703,9.20210266340539 53.8951623622383)";0.066993102;113.8882733;1700;1;;-113.8882733;113.8882733
l19;"SRID=4326;LINESTRING(9.98460987842098 53.7411288196703,9.98853665499904 53.7662776782512)";0.755997763;370.4389041;490;1;;370.4389041;370.4389041
