v_id;wkt_srid_4326;Curtailment;;;;;;
n1;"SRID=4326;POINT(9.52257596986262 52.3604090557601)";0;;;;;n5;8.48016
n2;"SRID=4326;POINT(9.11321007472722 52.5438533223737)";0;;;;;n10;70.70884988
n3;"SRID=4326;POINT(9.38974509624863 52.0263130660355)";0;;;;;n11;66.93492
n4;"SRID=4326;POINT(9.12526570294975 52.5382640870749)";0;;;;;n12;229.1358824
n5;"SRID=4326;POINT(10.3662749375017 52.2846467462009)";8.48016;;;;;n16;3.156192228
n6;"SRID=4326;POINT(9.91814864613865 52.3799963125719)";0;;;;;n17;3.8626575
n7;"SRID=4326;POINT(9.91717971972185 52.2781686139394)";0;;;;;n18;593.1026388
n8;"SRID=4326;POINT(10.4149923381504 53.4126068830249)";0;;;;;n22;681.6563636
n9;"SRID=4326;POINT(10.3787705903765 53.2197927685849)";0;;;;;n23;3.433687854
n10;"SRID=4326;POINT(12.9416466019288 52.5621144045848)";70.70884988;;;;;n24;67.07597514
n11;"SRID=4326;POINT(13.2061029867985 52.6571362773373)";66.93492;;;;;n25;175.5672867
n12;"SRID=4326;POINT(13.7096697058228 52.5397952580643)";229.1358824;;;;;n26;100.520314
n13;"SRID=4326;POINT(11.3704262486892 48.2914922329548)";0;;;;;n28;20.98593918
n14;"SRID=4326;POINT(11.8132328973194 48.2212664654998)";0;;;;;n29;1.669302082
n15;"SRID=4326;POINT(11.8681562938884 48.2068029185353)";0;;;;;n34;0.062215
n16;"SRID=4326;POINT(10.7610403785613 52.3677293804096)";3.156192228;;;;;n35;13.0864825
n17;"SRID=4326;POINT(13.4947633747219 52.5897644435618)";3.8626575;;;;;n36;2063.5272
n18;"SRID=4326;POINT(13.6834769666546 54.1390906406635)";593.1026388;;;;;n37;43.09989031
n19;"SRID=4326;POINT(11.2939727001158 48.0520427719624)";0;;;;;n39;907.0569595
n20;"SRID=4326;POINT(9.98460982000897 53.7411287759659)";0;;;;;n40;310.7882572
n21;"SRID=4326;POINT(10.1575015165126 53.5551316685834)";0;;;;;n41;1196.845754
n22;"SRID=4326;POINT(9.20210420095253 53.8951574100045)";681.6563636;;;;;n42;120.8495526
