l_id;v_id_1;v_id_2;wkt_srid_4326;1;voltage;cables;wires;frequency;name;operator;ref;length_m;r_ohmkm;x_ohmkm;c_nfkm;i_th_max_a;from_relation
1;1;2;"SRID=4326;LINESTRING(9.52257596986262 52.3604090557601,9.11321007472722 52.5438533223737)";;220000;3;2;50;Leitung 2016;TenneT;2016;43379;0.08;0.32;11.5;1.3;67129
2;3;4;"SRID=4326;LINESTRING(9.38974509624863 52.0263130660355,9.12526570294975 52.5382640870749)";;380000;6;4;50;Leitung 3011;TenneT;;72686;0.0125;0.125;27.4;5.2;67131
3;5;6;"SRID=4326;LINESTRING(10.3662749375017 52.2846467462009,9.91814864613865 52.3799963125719)";;220000;6;2;50;Leitung 2024;TenneT;1;33943;0.04;0.16;23;2.6;67151
4;7;5;"SRID=4326;LINESTRING(9.91717971972185 52.2781686139394,10.3662749375017 52.2846467462009)";;380000;3;4;50;Leitung 3026;TenneT;3026;33471;0.025;0.25;13.7;2.6;67153
5;8;9;"SRID=4326;LINESTRING(10.4149923381504 53.4126068830249,10.3787705903765 53.2197927685849)";;380000;6;4;50;KKW Krümmel - UW Lüneburg;transpower;;28163;0.0125;0.125;27.4;5.2;67585
6;10;11;"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,13.2061029867985 52.6571362773373)";;220000;3;2;50;295;50Hertz;295;27565;0.08;0.32;11.5;1.3;69042
7;11;12;"SRID=4326;LINESTRING(13.2061029867985 52.6571362773373,13.7096697058228 52.5397952580643)";;220000;3;2;50;293;50Hertz;293;45809;0.08;0.32;11.5;1.3;69043
8;10;12;"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,13.7096697058228 52.5397952580643)";;220000;3;2;50;294;50Hertz;294;68390;0.08;0.32;11.5;1.3;69045
9;13;14;"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.8132328973194 48.2212664654998)";;220000;3;2;50;Oba-Nfi I;TenneT TSO GmbH;263;39282;0.08;0.32;11.5;1.3;69488
10;13;15;"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.8681562938884 48.2068029185353)";;380000;3;2;;Oba-Oh;transpower;461;44323;0.05;0.5;6.85;1.3;69489
11;16;5;"SRID=4326;LINESTRING(10.7610403785613 52.3677293804096,10.3662749375017 52.2846467462009)";;380000;3;4;50;Leitung 3023;TenneT;2;36253;0.025;0.25;13.7;2.6;71281
12;17;18;"SRID=4326;LINESTRING(13.4947633747219 52.5897644435618,13.6834769666546 54.1390906406635)";;380000;3;3;50;518;50Hertz;518;200291;0.033333;0.333333;10.275;1.95;109962
13;17;12;"SRID=4326;LINESTRING(13.4947633747219 52.5897644435618,13.7096697058228 52.5397952580643)";;380000;3;3;50;520;50Hertz;520;24268;0.033333;0.333333;10.275;1.95;109969
14;13;15;"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.8681562938884 48.2068029185353)";;380000;3;2;;Oba-Oh;transpower;462;44371;0.05;0.5;6.85;1.3;112804
15;14;15;"SRID=4326;LINESTRING(11.8132328973194 48.2212664654998,11.8681562938884 48.2068029185353)";;220000;6;2;50;Nfi-Oh;;"286;287";5432;0.04;0.16;23;2.6;112810
16;13;19;"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.2939727001158 48.0520427719624)";;220000;6;2;50;OBR-OBA;TenneT;"269;270";30996;0.04;0.16;23;2.6;114252
17;20;21;"SRID=4326;LINESTRING(9.98460982000897 53.7411287759659,10.1575015165126 53.5551316685834)";;380000;3;2;50;Hamburg/Ost - Hamburg/Nord;50Hertz;A;31287;0.05;0.5;6.85;1.3;114696
18;20;22;"SRID=4326;LINESTRING(9.98460982000897 53.7411287759659,9.20210420095253 53.8951574100045)";;380000;3;4;;Brunsbüttel - Hamburg/Nord;50Hertz;G;57378;0.025;0.25;13.7;2.6;114718
19;20;23;"SRID=4326;LINESTRING(9.98460982000897 53.7411287759659,9.98853660865951 53.766277668594)";;220000;3;;;UW HH-Nord - UW Ulzburg;;;3313;;;;;114723
20;23;24;"SRID=4326;LINESTRING(9.98853660865951 53.766277668594,9.72699196993402 54.2914209867842)";;220000;6;;50;UW Hamburg Nord - UW Audorf;TenneT;;62919;;;;;114724
21;25;26;"SRID=4326;LINESTRING(9.34476098807139 53.9218370583068,9.34400177215961 53.8517774635399)";;380000;6;;50;308 AKW Brokdorf - UW Wilster;TenneT;308;8193;;;;;114738
22;25;22;"SRID=4326;LINESTRING(9.34476098807139 53.9218370583068,9.20210420095253 53.8951574100045)";;380000;3;;50;309 AKW Brunsbüttel - UW Wilster;TenneT;309;10275;;;;;114742
23;23;27;"SRID=4326;LINESTRING(9.98853660865951 53.766277668594,9.52960512906833 53.6189906941937)";;220000;3;;;AKW Stade - UW Hamburg Nord;TenneT;;41954;;;;;114747
24;28;23;"SRID=4326;LINESTRING(9.77654483874895 53.6906352606291,9.98853660865951 53.766277668594)";;220000;3;;;UW Kummerfeld - UW Hamburg Nord;TenneT;;19423;;;;;114752
25;8;21;"SRID=4326;LINESTRING(10.4149923381504 53.4126068830249,10.1575015165126 53.5551316685834)";;380000;3;;50;"991;992";50Hertz;"991;992";28576;;;;;114782
26;9;29;"SRID=4326;LINESTRING(10.3787705903765 53.2197927685849,10.3821666628198 52.9932540372914)";;380000;;4;50;3021 Lüneburg - Stadorf;TenneT;;25571;;;;;114789
27;30;25;"SRID=4326;LINESTRING(9.5017896678173 53.5428143723363,9.34476098807139 53.9218370583068)";;380000;;;50;307 UW Wilster - UW Dollern;TenneT;307;57641;;;;;114795
28;31;32;"SRID=4326;LINESTRING(9.74615081640288 50.9168399490798,11.1228545605428 50.9989090670144)";;380000;3;3;50;449 Mecklar - Vieselbach;50Hertz;449;129863;0.033333;0.333333;10.275;1.95;129420
29;32;33;"SRID=4326;LINESTRING(11.1228545605428 50.9989090670144,10.3859411643633 51.0018133014781)";;380000;3;3;50;454 Eisenach - Vieselbach;50Hertz;454;72614;0.033333;0.333333;10.275;1.95;129422
30;34;35;"SRID=4326;LINESTRING(8.12264230304551 53.5605160490331,8.08565059715704 53.605834192587)";;220000;3;2;50;209 weiß;TenneT;209;5845;0.08;0.32;11.5;1.3;138889
31;35;36;"SRID=4326;LINESTRING(8.08565059715704 53.605834192587,8.06005695814032 53.6202025750861)";;220000;3;2;50;211 rot;TenneT;211;2650;0.08;0.32;11.5;1.3;138892
32;2;6;"SRID=4326;LINESTRING(9.11321007472722 52.5438533223737,9.91814864613865 52.3799963125719)";;220000;3;2;50;Leitung 2008;TenneT;2008;74645;0.08;0.32;11.5;1.3;142684
33;37;10;"SRID=4326;LINESTRING(11.6389127631156 52.2687346818467,12.9416466019288 52.5621144045848)";;380000;3;3;50;494;50Hertz;494;104169;0.033333;0.333333;10.275;1.95;145483
34;10;38;"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,13.2115276454389 52.5806278102291)";;380000;3;3;50;498;50Hertz;498;29669;0.033333;0.333333;10.275;1.95;145484
35;37;38;"SRID=4326;LINESTRING(11.6389127631156 52.2687346818467,13.2115276454389 52.5806278102291)";;380000;6;3;50;493;50Hertz;493;124574;0.016667;0.166667;20.55;3.9;145485
36;39;40;"SRID=4326;LINESTRING(11.7273534150745 52.5689469938591,13.1433929102518 53.9081469774219)";;380000;3;3;50;513;50Hertz;513;195877;0.033333;0.333333;10.275;1.95;145508
37;39;41;"SRID=4326;LINESTRING(11.7273534150745 52.5689469938591,11.8531057080136 53.0865444750041)";;380000;3;3;50;516;50Hertz;516;75667;0.033333;0.333333;10.275;1.95;145509
38;42;41;"SRID=4326;LINESTRING(12.1869848227216 53.8157751724384,11.8531057080136 53.0865444750041)";;380000;3;3;50;514;50Hertz;514;134922;0.033333;0.333333;10.275;1.95;145510
39;18;42;"SRID=4326;LINESTRING(13.6834769666546 54.1390906406635,12.1869848227216 53.8157751724384)";;380000;3;3;50;512;50Hertz;512;149010;0.033333;0.333333;10.275;1.95;145513
40;10;43;"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,12.4993659669539 52.4052284251973)";;220000;3;2;50;319;50Hertz;319;55092;0.08;0.32;11.5;1.3;240489
41;10;43;"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,12.4993659669539 52.4052284251973)";;220000;3;2;50;324;50Hertz;324;55030;0.08;0.32;11.5;1.3;240490
42;44;45;"SRID=4326;LINESTRING(13.5061534469385 52.473822309174,13.3057532949594 52.2307818451873)";;220000;3;2;50;291;50Hertz;291;38755;0.08;0.32;11.5;1.3;241440
43;44;46;"SRID=4326;LINESTRING(13.5061534469385 52.473822309174,13.5241987309997 52.5356342713481)";;220000;3;2;;301 Wuhlheide - Marzahn;50Hertz;301;9168;0.08;0.32;11.5;1.3;241442
44;46;12;"SRID=4326;LINESTRING(13.5241987309997 52.5356342713481,13.7096697058228 52.5397952580643)";;380000;3;4;;495;50Hertz;;17010;0.025;0.25;13.7;2.6;252583
45;46;12;"SRID=4326;LINESTRING(13.5241987309997 52.5356342713481,13.7096697058228 52.5397952580643)";;380000;3;4;;496;50Hertz;;17029;0.025;0.25;13.7;2.6;252584
46;47;48;"SRID=4326;LINESTRING(13.4564306927748 52.5214517451981,13.5370442127043 52.5374565238016)";;380000;3;1;50;836 (BIN-FRH);Vattenfall_Europe_Berlin;;7717;0.1;1;3.425;0.65;252589
47;49;50;"SRID=4326;LINESTRING(10.99933301239 52.2001419745622,10.9772332275028 52.1694333176707)";;380000;3;;50;;;3845;5531;;;;;3883857
48;31;33;"SRID=4326;LINESTRING(9.74615081640288 50.9168399490798,10.3859411643633 51.0018133014781)";;380000;3;3;50;450 Mecklar - Eisenach;50Hertz;450;58378;0.033333;0.333333;10.275;1.95;270536
49;31;51;"SRID=4326;LINESTRING(9.74615081640288 50.9168399490798,9.25938382024592 51.0603668474477)";;380000;6;4;;3009 Borken - Mecklar;TenneT;3009;40647;0.0125;0.125;27.4;5.2;270963
50;52;53;"SRID=4326;LINESTRING(8.3133401659254 49.0090434643525,7.75349546540486 48.0993557006259)";;380000;3;4;;Daxlanden - Eichstetten;EnBW;7510;120968;0.025;0.25;13.7;2.6;272103
51;52;54;"SRID=4326;LINESTRING(8.3133401659254 49.0090434643525,8.43846751211921 49.2524597288652)";;380000;3;3;;Daxlanden - Philippsburg;EnBW;7520;32978;0.033333;0.333333;10.275;1.95;272126
52;52;55;"SRID=4326;LINESTRING(8.3133401659254 49.0090434643525,8.51211132935593 49.293965649573)";;220000;3;4;;Altlußheim - Daxlanden;EnBW;5100;38219;0.04;0.16;23;2.6;272681
53;52;56;"SRID=4326;LINESTRING(8.3133401659254 49.0090434643525,8.62320967451897 49.3565822492832)";;220000;3;2;;Daxlanden - Neurott;EnBW;5100;66788;0.08;0.32;11.5;1.3;272682
54;57;52;"SRID=4326;LINESTRING(8.44554248929306 48.9860881753906,8.3133401659254 49.0090434643525)";;220000;3;4;;Seehof (220 kV Daxlanden-Oberwald);EnBW;;14179;0.04;0.16;23;2.6;272728
55;57;58;"SRID=4326;LINESTRING(8.44554248929306 48.9860881753906,8.64158406338239 48.8900524832355)";;220000;3;2;;Edelberg (220 kV Oberwald - Birkenfeld);EnBW;;21835;0.08;0.32;11.5;1.3;272729
56;58;52;"SRID=4326;LINESTRING(8.64158406338239 48.8900524832355,8.3133401659254 49.0090434643525)";;220000;3;2;;Pfinztal (220 kV Daxlanden-Birkenfeld);EnBW;;29944;0.08;0.32;11.5;1.3;272732
57;59;60;"SRID=4326;LINESTRING(8.56374399744213 53.0317215835514,8.47470704898602 53.4286511943138)";;380000;3;2;50;307;TenneT;;56049;0.05;0.5;6.85;1.3;289000
58;61;62;"SRID=4326;LINESTRING(8.51888180951659 53.2026352836834,8.82002487241632 53.1073882918815)";;220000;3;1;50;2144;TenneT;;38653;0.16;0.64;5.75;0.65;300029
59;30;61;"SRID=4326;LINESTRING(9.5017896678173 53.5428143723363,8.51888180951659 53.2026352836834)";;380000;3;2;50;Dollern-(Niedervieland/Unterweser)-Alfstedt;TenneT;3103;90790;0.05;0.5;6.85;1.3;309969
60;63;52;"SRID=4326;LINESTRING(8.12076909802284 48.7048354259965,8.3133401659254 49.0090434643525)";;220000;3;2;50;Bühl - Daxlanden;EnBW;BUEHL-DAXLA;41529;0.08;0.32;11.5;1.3;339243
61;13;64;"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.4407746483177 48.1718035473026)";;380000;3;4;;Oberbachern - Menzing;Stadtwerke München;"439;440";17129;0.025;0.25;13.7;2.6;377770
62;65;66;"SRID=4326;LINESTRING(13.3264049984725 50.3463721850552,12.1147644054101 49.6311550521523)";;380000;3;3;;Etzenricht - Hradec;"CEPS;TenneT TSO GmbH";441;163671;0.033333;0.333333;10.275;1.95;395087
63;59;67;"SRID=4326;LINESTRING(8.56374399744213 53.0317215835514,8.69516075602312 53.0925360847799)";;380000;3;2;50;303/307;TenneT;;14983;0.05;0.5;6.85;1.3;445559
64;61;67;"SRID=4326;LINESTRING(8.51888180951659 53.2026352836834,8.69516075602312 53.0925360847799)";;380000;3;2;50;"307;303";TenneT;;37346;0.05;0.5;6.85;1.3;445560
65;68;69;"SRID=4326;LINESTRING(8.77244296019056 49.974668665137,8.41937105938048 49.6337356823792)";;380000;3;4;50;Ried Ost;Amprion;;64400;0.025;0.25;13.7;2.6;576361
66;70;69;"SRID=4326;LINESTRING(8.38855636787547 49.9823050841271,8.41937105938048 49.6337356823792)";;380000;3;4;50;Ried West;Amprion;;55596;0.025;0.25;13.7;2.6;576364
67;71;72;"SRID=4326;LINESTRING(12.2621734868101 51.7410202755519,11.8942661378135 51.4057031412478)";;380000;3;4;50;504;50Hertz;504;51283;0.025;0.25;13.7;2.6;902595
68;73;74;"SRID=4326;LINESTRING(13.1570904871893 51.8284516615019,13.9024346886892 51.8747235190459)";;380000;3;3;50;501;50Hertz;501;54278;0.033333;0.333333;10.275;1.95;902597
69;37;75;"SRID=4326;LINESTRING(11.6389127631156 52.2687346818467,11.5165549672107 51.5843592098734)";;380000;3;3;50;536 Klostermansfeld - Wolmirstedt;50Hertz;536;118953;0.033333;0.333333;10.275;1.95;904158
70;72;75;"SRID=4326;LINESTRING(11.8942661378135 51.4057031412478,11.5165549672107 51.5843592098734)";;380000;3;4;50;538 Lauchstädt - Klostermansfeld;50Hertz;538;38634;0.025;0.25;13.7;2.6;904159
71;37;72;"SRID=4326;LINESTRING(11.6389127631156 52.2687346818467,11.8942661378135 51.4057031412478)";;380000;3;3;50;535 Lauchstädt - Wolmirstedt;50Hertz;535;156914;0.033333;0.333333;10.275;1.95;904160
72;76;77;"SRID=4326;LINESTRING(8.70221844882815 51.7363525828065,8.99279240395088 51.343009397907)";;380000;3;4;;Leitung 3016;TenneT;3016;54107;0.025;0.25;13.7;2.6;906772
73;76;77;"SRID=4326;LINESTRING(8.70221844882815 51.7363525828065,8.99279240395088 51.343009397907)";;380000;3;4;;Leitung 3014;TenneT;3014;54107;0.025;0.25;13.7;2.6;906773
74;77;51;"SRID=4326;LINESTRING(8.99279240395088 51.343009397907,9.25938382024592 51.0603668474477)";;380000;3;4;;Leitung 3212;TenneT;3012;41955;0.025;0.25;13.7;2.6;906782
75;77;51;"SRID=4326;LINESTRING(8.99279240395088 51.343009397907,9.25938382024592 51.0603668474477)";;380000;3;4;;Leitung 3213;TenneT;3013;41955;0.025;0.25;13.7;2.6;906784
76;73;72;"SRID=4326;LINESTRING(13.1570904871893 51.8284516615019,11.8942661378135 51.4057031412478)";;380000;3;3;50;503;50Hertz;503;110358;0.033333;0.333333;10.275;1.95;907513
77;18;40;"SRID=4326;LINESTRING(13.6834769666546 54.1390906406635,13.1433929102518 53.9081469774219)";;380000;3;3;50;509;50Hertz;509;56436;0.033333;0.333333;10.275;1.95;912407
78;10;45;"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,13.3057532949594 52.2307818451873)";;220000;3;3;50;526;50Hertz;526;70037;0.053333;0.213333;17.25;1.95;918562
79;10;74;"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,13.9024346886892 51.8747235190459)";;380000;3;3;50;521;50Hertz;521;130685;0.033333;0.333333;10.275;1.95;918563
80;45;74;"SRID=4326;LINESTRING(13.3057532949594 52.2307818451873,13.9024346886892 51.8747235190459)";;220000;3;1;50;522;50Hertz;522;62038;0.16;0.64;5.75;0.65;918564
81;78;32;"SRID=4326;LINESTRING(11.6463786274424 50.534876971042,11.1228545605428 50.9989090670144)";;380000;3;4;50;416;50Hertz;416;77738;0.025;0.25;13.7;2.6;918567
82;79;80;"SRID=4326;LINESTRING(14.4719654742998 51.5538127185923,14.5081091811329 51.4137103812427)";;380000;3;;50;566;50Hertz;566;22016;;;;;919059
83;79;80;"SRID=4326;LINESTRING(14.4719654742998 51.5538127185923,14.5081091811329 51.4137103812427)";;380000;3;;50;565;50Hertz;565;21999;;;;;919060
84;81;79;"SRID=4326;LINESTRING(14.4281804852225 51.8888641394403,14.4719654742998 51.5538127185923)";;380000;3;;50;542;50Hertz;542;62180;;;;;919119
85;81;79;"SRID=4326;LINESTRING(14.4281804852225 51.8888641394403,14.4719654742998 51.5538127185923)";;380000;3;;50;541;50Hertz;541;62195;;;;;919121
86;34;82;"SRID=4326;LINESTRING(8.12264230304551 53.5605160490331,8.14191382633093 53.5640011680095)";;220000;3;2;50;300 Wilhelmshaven - Maade;;300;2344;0.08;0.32;11.5;1.3;941141
87;83;84;"SRID=4326;LINESTRING(10.1562824575947 54.2755482549913,10.1773541034729 54.3395212638642)";;220000;3;2;50;211;TenneT;211;13652;0.08;0.32;11.5;1.3;943999
88;83;24;"SRID=4326;LINESTRING(10.1562824575947 54.2755482549913,9.72699196993402 54.2914209867842)";;220000;3;1;50;207;TenneT;207;31608;0.16;0.64;5.75;0.65;945143
89;85;86;"SRID=4326;LINESTRING(7.03496796515083 52.2028607381056,7.30820430094578 52.4768353862806)";;380000;3;4;50;Gronau West;Amprion;;46344;0.025;0.25;13.7;2.6;962084
