v_id;lon;lat;wkt_srid_4326;typ;voltage;frequency;name;operator;ref
1;9.52257597;52.36040906;"SRID=4326;POINT(9.52257596986262 52.3604090557601)";substation;"220000;110000";50;Hannover/West;"TenneT;EON_Netz";
2;9.113210075;52.54385332;"SRID=4326;POINT(9.11321007472722 52.5438533223737)";substation;220000;50;Umspannwerk Kraftwerk Robert Frank;TenneT;
3;9.389745096;52.02631307;"SRID=4326;POINT(9.38974509624863 52.0263130660355)";substation;"380000;110000";50;UW Grohnde 380 kV / 110 kV;TenneT;
4;9.125265703;52.53826409;"SRID=4326;POINT(9.12526570294975 52.5382640870749)";substation;"380000;220000";50;Landesbergen;TenneT TSO GmbH;
5;10.36627494;52.28464675;"SRID=4326;POINT(10.3662749375017 52.2846467462009)";substation;"380000;220000";50;Wahle;TenneT;
6;9.918148646;52.37999631;"SRID=4326;POINT(9.91814864613865 52.3799963125719)";substation;"220000;110000";50;TenneT TSO GmbH - Betriebszentrum Lehrte;TenneT_TSO;
7;9.91717972;52.27816861;"SRID=4326;POINT(9.91717971972185 52.2781686139394)";substation;"380000;110000";50;Algermissen;TenneT;
8;10.41499234;53.41260688;"SRID=4326;POINT(10.4149923381504 53.4126068830249)";substation;"380000;110000";;Krümmel;50Hertz;
9;10.37877059;53.21979277;"SRID=4326;POINT(10.3787705903765 53.2197927685849)";substation;"380000;110000";50;Lüneburg;EON_Netz;LUEN
10;12.9416466;52.5621144;"SRID=4326;POINT(12.9416466019288 52.5621144045848)";substation;"380000;220000;110000";;Wustermark;"50Hertz Transmission GmbH;E.ON edis AG";Wu
11;13.20610299;52.65713628;"SRID=4326;POINT(13.2061029867985 52.6571362773373)";substation;220000;50;Hennigsdorf;50Hertz Transmission;
12;13.70966971;52.53979526;"SRID=4326;POINT(13.7096697058228 52.5397952580643)";substation;"380000;220000;110000";50;Neuenhagen;50Hertz Transmission GmbH;NHG TCC
13;11.37042625;48.29149223;"SRID=4326;POINT(11.3704262486892 48.2914922329548)";substation;"380000;220000;110000";;Umspannwerk Oberbachern;"TenneT TSO GmbH;E.ON Netz GmbH";OBA
14;11.8132329;48.22126647;"SRID=4326;POINT(11.8132328973194 48.2212664654998)";substation;"220000;110000";;Umspannwerk Neufinsing;TenneT TSO GmbH, E.ON Netz GmbH;NFI
15;11.86815629;48.20680292;"SRID=4326;POINT(11.8681562938884 48.2068029185353)";substation;"380000;220000";50;Umspannwerk Ottenhofen;TenneT TSO GmbH;OH
16;10.76104038;52.36772938;"SRID=4326;POINT(10.7610403785613 52.3677293804096)";substation;380000;50;Umspannwerk Hattorf;EON_Netz;
