v_id;lon;lat;typ;voltage;frequency;name;operator;ref;wkt_srid_4326
1;9.522576011;52.36040907;substation;"220000;110000";50;Hannover/West;"TenneT;EON_Netz";;"SRID=4326;POINT(9.52257601112577 52.3604090734199)"
2;9.113210115;52.54385334;substation;220000;50;Umspannwerk Kraftwerk Robert Frank;TenneT;;"SRID=4326;POINT(9.11321011483187 52.5438533448625)"
3;9.389745151;52.02631308;substation;"380000;110000";50;UW Grohnde 380 kV / 110 kV;TenneT;;"SRID=4326;POINT(9.38974515063535 52.0263130791669)"
4;9.125265742;52.53826412;substation;"380000;220000";50;Landesbergen;TenneT TSO GmbH;;"SRID=4326;POINT(9.12526574244048 52.5382641233458)"
5;10.36627494;52.28464676;substation;"380000;220000";50;Wahle;TenneT;;"SRID=4326;POINT(10.366274939217 52.2846467643429)"
6;9.918148687;52.37999634;substation;"220000;110000";50;TenneT TSO GmbH - Betriebszentrum Lehrte;TenneT_TSO;;"SRID=4326;POINT(9.91814868737007 52.3799963378317)"
7;9.917179757;52.27816862;substation;"380000;110000";50;Algermissen;TenneT;;"SRID=4326;POINT(9.9171797569037 52.2781686248742)"
8;10.41499242;53.41260688;substation;"380000;110000";;Krümmel;50Hertz;;"SRID=4326;POINT(10.4149924241538 53.4126068813272)"
9;10.37877064;53.21979277;substation;"380000;110000";50;Lüneburg;EON_Netz;LUEN;"SRID=4326;POINT(10.3787706356666 53.2197927695925)"
10;12.94164665;52.5621144;substation;"380000;220000;110000";;Wustermark;"50Hertz Transmission GmbH;E.ON edis AG";Wu;"SRID=4326;POINT(12.9416466491702 52.5621144028949)"
11;13.206103;52.6571363;substation;220000;50;Hennigsdorf;50Hertz Transmission;;"SRID=4326;POINT(13.2061030014846 52.6571363047161)"
12;13.70966975;52.5397953;substation;"380000;220000;110000";50;Neuenhagen;50Hertz Transmission GmbH;NHG TCC;"SRID=4326;POINT(13.709669749528 52.5397952998981)"
13;11.37042631;48.29149225;substation;"380000;220000;110000";;Umspannwerk Oberbachern;"TenneT TSO GmbH;E.ON Netz GmbH";OBA;"SRID=4326;POINT(11.3704263094168 48.2914922548393)"
14;11.81323293;48.22126647;substation;"220000;110000";;Umspannwerk Neufinsing;TenneT TSO GmbH, E.ON Netz GmbH;NFI;"SRID=4326;POINT(11.8132329291411 48.2212664672329)"
15;11.86815636;48.20680293;substation;"380000;220000";50;Umspannwerk Ottenhofen;TenneT TSO GmbH;OH;"SRID=4326;POINT(11.868156362746 48.206802931481)"
16;10.76104042;52.36772939;substation;380000;50;Umspannwerk Hattorf;EON_Netz;;"SRID=4326;POINT(10.7610404155909 52.3677293936344)"
17;13.49476343;52.58976447;substation;"380000;110000";50;Umspannwerk Malchow;"50Hertz;Stromnetz Berlin";MOW;"SRID=4326;POINT(13.4947634286677 52.5897644694349)"
18;13.68347698;54.13909067;substation;"380000;220000";;Umspannwerk Lubmin;50Hertz;;"SRID=4326;POINT(13.6834769799404 54.1390906728297)"
19;11.29397278;48.05204278;substation;"220000;110000";;Umspannwerk Oberbrunn;TenneT TSO GmbH, E.ON Netz GmbH;OBR;"SRID=4326;POINT(11.2939727766244 48.0520427780619)"
20;9.984609878;53.74112882;substation;"380000;220000;110000";50;Umspannwerk Hamburg-Nord;50Hertz Transmission;;"SRID=4326;POINT(9.98460987842098 53.7411288196703)"
21;10.15750576;53.55512664;substation;"380000;110000";50;Umspannwerk Hamburg/Ost;"50Hertz Transmission;Stromnetz Hamburg GmbH";;"SRID=4326;POINT(10.1575057595216 53.5551266364644)"
22;9.202102663;53.89516236;substation;"380000;220000;110000";50;Umspannwerk Kernkraftwerk Brunsbüttel;50Hertz Transmission;;"SRID=4326;POINT(9.20210266340539 53.8951623622383)"
23;9.988536655;53.76627768;substation;"220000;110000;30000";50;Hamburg Nord;"TenneT;Schleswig-Holstein Netz AG";;"SRID=4326;POINT(9.98853665499904 53.7662776782512)"
24;9.726992751;54.29142099;substation;"220000;110000";50;Audorf;"TenneT;Schleswig-Holstein Netz AG";;"SRID=4326;POINT(9.72699275106814 54.2914209859116)"
25;9.344761017;53.92183708;substation;380000;50;Umspannwerk Wilster;TenneT;;"SRID=4326;POINT(9.34476101692227 53.9218370813918)"
26;9.344001814;53.8517775;substation;"380000;220000";;Brokdorf;TenneT;;"SRID=4326;POINT(9.34400181356048 53.8517774981988)"
27;9.529605148;53.61899073;substation;"220000;110000";50;Stade;;;"SRID=4326;POINT(9.52960514781347 53.618990731832)"
28;9.776544836;53.69063529;substation;"220000;110000";50;Kummerfeld;TenneT;;"SRID=4326;POINT(9.77654483603303 53.6906352940911)"
29;10.38220111;52.99324267;substation;380000;50;Stadorf;TenneT;;"SRID=4326;POINT(10.3822011082464 52.9932426669735)"
30;9.501789712;53.54281439;substation;"380000;220000;110000";50;Dollern;;;"SRID=4326;POINT(9.50178971212981 53.5428143880013)"
31;9.746150856;50.91684;substation;"380000;110000";50;Mecklar;EON_Netz;;"SRID=4326;POINT(9.74615085631454 50.9168400022101)"
32;11.12285463;50.99890908;substation;"380000;220000;110000";50;Umspannwerk Vieselbach;50Hertz Transmission GmbH;;"SRID=4326;POINT(11.1228546271538 50.9989090757631)"
33;10.38594117;51.00181331;substation;"380000;110000";50;Eisenach;50Hertz;;"SRID=4326;POINT(10.3859411718194 51.0018133141165)"
34;8.122642304;53.56051607;substation;"380000;220000";50;Umspannwerk Maade;TenneT;MAAD;"SRID=4326;POINT(8.122642304058 53.5605160665145)"
35;8.085650608;53.60583422;substation;"220000;110000";50;Voslapp;"TenneT;EON_Netz";VOSL;"SRID=4326;POINT(8.08565060815886 53.6058342194744)"
36;8.060057012;53.62020262;substation;"220000;155000";50;Inhausen;TenneT;INHA;"SRID=4326;POINT(8.06005701182283 53.6202026205826)"
37;11.63891261;52.2687359;substation;"380000;220000";;Umspannwerk Wolmirstedt;50Hertz Transmission GmbH;;"SRID=4326;POINT(11.6389126099956 52.2687358982154)"
38;13.21152768;52.58062784;substation;"380000;110000";50;Teufelsbruch;50Hertz Transmission;;"SRID=4326;POINT(13.2115276810432 52.5806278358522)"
39;11.72735343;52.56894701;substation;"380000;110000";50;Stendal/West;50Hertz Transmission GmbH;StW;"SRID=4326;POINT(11.727353429381 52.5689470103264)"
40;13.14339297;53.90814702;substation;"380000;110000";50;Siedenbrünzow;50Hertz Transmission GmbH;;"SRID=4326;POINT(13.1433929675199 53.9081470154338)"
41;11.85310516;53.08654406;substation;"380000;110000";;Umspannwerk Perleberg;"50Hertz;EON_Avacon";;"SRID=4326;POINT(11.8531051573669 53.0865440610132)"
42;12.18698485;53.8157752;substation;"380000;220000";50;Güstrow;50Hertz;;"SRID=4326;POINT(12.1869848529515 53.8157751978716)"
43;12.49936603;52.40522844;substation;"220000;110000";;Brandenburg-West;50Hertz Transmission GmbH;;"SRID=4326;POINT(12.4993660253653 52.4052284426773)"
44;13.50612802;52.4738227;substation;"220000;110000";50;Umspannwerk Wuhlheide;"50Hertz;Vattenfall Europe AG";;"SRID=4326;POINT(13.5061280249068 52.4738227039188)"
