v_id;wkt_srid_4326;Average price 24;Average price 100;;;;;
n1;"SRID=4326;POINT(9.52257596986262 52.3604090557601)";-8.218708939;316.3461216;;;;n5;8.48016
n2;"SRID=4326;POINT(9.11321007472722 52.5438533223737)";-8.218708939;316.3461216;;;;n10;70.70884988
n3;"SRID=4326;POINT(9.38974509624863 52.0263130660355)";-42.79124941;8.444494277;;;;n11;66.93492
n4;"SRID=4326;POINT(9.12526570294975 52.5382640870749)";-7.954080562;316.7856484;;;;n12;229.1358824
n5;"SRID=4326;POINT(10.3662749375017 52.2846467462009)";-68.84123183;643.6795508;;;;n16;3.156192228
n6;"SRID=4326;POINT(9.91814864613865 52.3799963125719)";-51.12309639;472.2586845;;;;n17;3.8626575
n7;"SRID=4326;POINT(9.91717971972185 52.2781686139394)";-58.86253053;400.3465313;;;;n18;593.1026388
n8;"SRID=4326;POINT(10.4149923381504 53.4126068830249)";-151.4023478;478.520997;;;;n22;681.6563636
n9;"SRID=4326;POINT(10.3787705903765 53.2197927685849)";-144.9332571;491.4620244;;;;n23;3.433687854
n10;"SRID=4326;POINT(12.9416466019288 52.5621144045848)";-149.640296;-69.06703569;;;;n24;67.07597514
n11;"SRID=4326;POINT(13.2061029867985 52.6571362773373)";-146.9658551;-66.14991034;;;;n25;175.5672867
n12;"SRID=4326;POINT(13.7096697058228 52.5397952580643)";-142.5213252;-61.30207451;;;;n26;100.520314
n13;"SRID=4326;POINT(11.3704262486892 48.2914922329548)";332.8424666;970.4295838;;;;n28;20.98593918
n14;"SRID=4326;POINT(11.8132328973194 48.2212664654998)";2.597852332;0.058571306;;;;n29;1.669302082
n15;"SRID=4326;POINT(11.8681562938884 48.2068029185353)";35.31742496;15.26315026;;;;n34;0.062215
n16;"SRID=4326;POINT(10.7610403785613 52.3677293804096)";-63.46469451;714.7301587;;;;n35;13.0864825
n17;"SRID=4326;POINT(13.4947633747219 52.5897644435618)";-143.3417721;-67.14638087;;;;n36;2063.5272
n18;"SRID=4326;POINT(13.6834769666546 54.1390906406635)";-150.1131633;-115.3811743;;;;n37;43.09989031
n19;"SRID=4326;POINT(11.2939727001158 48.0520427719624)";379.947174;1067.527193;;;;n39;907.0569595
n20;"SRID=4326;POINT(9.98460982000897 53.7411287759659)";-129.5119753;28.614914;;;;n40;310.7882572
n21;"SRID=4326;POINT(10.1575015165126 53.5551316685834)";-124.8593956;38.05045589;;;;n41;1196.845754
n22;"SRID=4326;POINT(9.20210420095253 53.8951574100045)";-150;-81.21739509;;;;n42;120.8495526
n23;"SRID=4326;POINT(9.98853660865951 53.766277668594)";-124.2433335;69.40092695;;;;n43;210.0624784
n24;"SRID=4326;POINT(9.72699196993402 54.2914209867842)";-129.6672836;33.99186447;;;;n44;5.367
n25;"SRID=4326;POINT(9.34476098807139 53.9218370583068)";-155.3527024;-130.6059192;;;;n45;70.39463625
n26;"SRID=4326;POINT(9.34400177215961 53.8517774635399)";-156.0262759;-138.5338746;;;;n48;9.240262746
n27;"SRID=4326;POINT(9.52960512906833 53.6189906941937)";-155.0872111;-3.446460467;;;;n49;271.7626005
n28;"SRID=4326;POINT(9.77654483874895 53.6906352606291)";-128.7752956;-71.83467852;;;;n50;233.9027965
n29;"SRID=4326;POINT(10.3821666628198 52.9932540372914)";-121.4421181;538.454637;;;;n59;322.9657626
n30;"SRID=4326;POINT(9.5017896678173 53.5428143723363)";-157.8789496;-29.41181367;;;;n60;170.047462
n31;"SRID=4326;POINT(9.74615081640288 50.9168399490798)";82.57462867;887.9871336;;;;n61;244.5304575
n32;"SRID=4326;POINT(11.1228545605428 50.9989090670144)";-12.66163978;478.7676202;;;;n67;98.8751825
n33;"SRID=4326;POINT(10.3859411643633 51.0018133014781)";40.13155673;705.6140364;;;;n71;353.7252428
n34;"SRID=4326;POINT(8.12264230304551 53.5605160490331)";-155.3318751;-143.0593216;;;;n74;494.9381271
n35;"SRID=4326;POINT(8.08565059715704 53.605834192587)";-155.3318751;-143.0593216;;;;n82;61.73384175
n36;"SRID=4326;POINT(8.06005695814032 53.6202025750861)";-155.3318751;-143.0593216;;;;n83;7.711961947
n37;"SRID=4326;POINT(11.6389127631156 52.2687346818467)";-147.4708538;-134.1411028;;;;n84;4.5027675
n38;"SRID=4326;POINT(13.2115276454389 52.5806278102291)";-148.5818774;-100.8151061;;;;n98;56.72628
n39;"SRID=4326;POINT(11.7273534150745 52.5689469938591)";-149.4502939;-132.8545952;;;;n153;0.156797761
n40;"SRID=4326;POINT(13.1433929102518 53.9081469774219)";-149.9648963;-119.2895341;;;;n159;86.37789375
n41;"SRID=4326;POINT(11.8531057080136 53.0865444750041)";-151.0083615;-132.7174735;;;;n160;365.2052443
n42;"SRID=4326;POINT(12.1869848227216 53.8157751724384)";-153.7865554;-132.4729715;;;;n161;261.7165089
n43;"SRID=4326;POINT(12.4993659669539 52.4052284251973)";-149.640296;-69.06703569;;;;n177;94.88016096
n44;"SRID=4326;POINT(13.5061534469385 52.473822309174)";-144.2266134;-53.71984781;;;;n179;104.2370341
n45;"SRID=4326;POINT(13.3057532949594 52.2307818451873)";-149.0904271;-8.20399813;;;;n180;50.18649069
n46;"SRID=4326;POINT(13.5241987309997 52.5356342713481)";-143.0806523;-58.80709268;;;;n181;303.1532274
n47;"SRID=4326;POINT(13.4564306927748 52.5214517451981)";-143.0806523;-58.80709268;;;;n192;156.73218
n48;"SRID=4326;POINT(13.5370442127043 52.5374565238016)";-143.0806523;-58.80709268;;;;n201;8.7635018
n49;"SRID=4326;POINT(10.99933301239 52.2001419745622)";-157.411941;-265.5119543;;;;n217;100.7631904
n50;"SRID=4326;POINT(10.9772332275028 52.1694333176707)";-157.411941;-265.5119543;;;;n218;97.64868577
n51;"SRID=4326;POINT(9.25938382024592 51.0603668474477)";84.24529682;965.6842807;;;;n221;359.587291
n52;"SRID=4326;POINT(8.3133401659254 49.0090434643525)";246.800756;1223.428307;;;;n260;1.79955
n53;"SRID=4326;POINT(7.75349546540486 48.0993557006259)";63.58123568;1494.779703;;;;n270;1102.904303
n54;"SRID=4326;POINT(8.43846751211921 49.2524597288652)";362.7910145;1165.659667;;;;n271;879.5624445
n55;"SRID=4326;POINT(8.51211132935593 49.293965649573)";246.800756;1223.428307;;;;n272;1114.205348
n56;"SRID=4326;POINT(8.62320967451897 49.3565822492832)";441.242264;1126.587231;;;;n278;31.128519
n57;"SRID=4326;POINT(8.44554248929306 48.9860881753906)";246.800756;1223.428307;;;;n285;358.4296405
n58;"SRID=4326;POINT(8.64158406338239 48.8900524832355)";246.800756;1223.428307;;;;n288;0.570339
n59;"SRID=4326;POINT(8.56374399744213 53.0317215835514)";-181.3562928;-106.2275075;;;;n295;3.86844208
n60;"SRID=4326;POINT(8.47470704898602 53.4286511943138)";-167.6303535;-123.9353597;;;;n298;10.5026
n61;"SRID=4326;POINT(8.51888180951659 53.2026352836834)";-194.1712348;-89.6949342;;;;n299;11.67331814
n62;"SRID=4326;POINT(8.82002487241632 53.1073882918815)";34.26949946;9.417227421;;;;n301;34.79402704
n63;"SRID=4326;POINT(8.12076909802284 48.7048354259965)";1421.368372;1399.023774;;;;n313;20.53366478
n64;"SRID=4326;POINT(11.4407746483177 48.1718035473026)";332.8424666;970.4295838;;;;n322;0.10395
n66;"SRID=4326;POINT(12.1147644054101 49.6311550521523)";43.9757287;57.52026738;;;;n346;1.555935
n67;"SRID=4326;POINT(8.69516075602312 53.0925360847799)";-185.0255064;-101.4938503;;;;n398;150.5187653
n68;"SRID=4326;POINT(8.77244296019056 49.974668665137)";181.6120892;804.8895688;;;;n401;28.54062145
n69;"SRID=4326;POINT(8.41937105938048 49.6337356823792)";368.712933;562.7168638;;;;n402;373.9288345
n70;"SRID=4326;POINT(8.38855636787547 49.9823050841271)";267.4379137;693.8014965;;;;n407;236.5982865
n71;"SRID=4326;POINT(12.2621734868101 51.7410202755519)";-138.677988;-214.5421724;;;;n408;481.0570313
n72;"SRID=4326;POINT(11.8942661378135 51.4057031412478)";-79.02128141;172.2200928;;;;n411;132.2808425
n73;"SRID=4326;POINT(13.1570904871893 51.8284516615019)";-136.1012116;133.9777327;;;;n412;2.025938611
n74;"SRID=4326;POINT(13.9024346886892 51.8747235190459)";-164.1751569;115.1687762;;;;n419;2723.774505
