l_id;wkt_srid_4326;24 Hous rel;24 Hours abs;100 Hours average abs;100 Hours max abs;100 Hours max average rel;cap;;;;;;;;;;;;;;;
l1;"SRID=4326;LINESTRING(9.52257596986262 52.3604090557601,9.11321007472722 52.5438533223737)";0.014815228;7.259461609;43.33345505;137.0027867;0.279597524;490;;l1;"SRID=4326;LINESTRING(9.52257596986262 52.3604090557601,9.11321007472722 52.5438533223737)";;;;;;;;;;l1;43.33345505;137.0027867
l2;"SRID=4326;LINESTRING(9.38974509624863 52.0263130660355,9.12526570294975 52.5382640870749)";0.044324943;75.35240301;212.3858754;462.3941329;0.271996549;1700;;l2;"SRID=4326;LINESTRING(9.38974509624863 52.0263130660355,9.12526570294975 52.5382640870749)";;;;;;;;;;l2;212.3858754;462.3941329
l3;"SRID=4326;LINESTRING(10.3662749375017 52.2846467462009,9.91814864613865 52.3799963125719)";0.347413807;170.2327656;123.1608727;160.7949381;0.328152935;490;;l3;"SRID=4326;LINESTRING(10.3662749375017 52.2846467462009,9.91814864613865 52.3799963125719)";;;;;;;;;;l3;123.1608727;160.7949381
l4;"SRID=4326;LINESTRING(9.91717971972185 52.2781686139394,10.3662749375017 52.2846467462009)";0.057198982;97.23827017;51.11955255;91.81249991;0.054007353;1700;;l4;"SRID=4326;LINESTRING(9.91717971972185 52.2781686139394,10.3662749375017 52.2846467462009)";;;;;;;;;;l4;51.11955255;91.81249991
l5;"SRID=4326;LINESTRING(10.4149923381504 53.4126068830249,10.3787705903765 53.2197927685849)";0.032006343;54.41078391;422.7100294;648.6692646;0.381570156;1700;;l5;"SRID=4326;LINESTRING(10.4149923381504 53.4126068830249,10.3787705903765 53.2197927685849)";;;;;;;;;;l5;422.7100294;648.6692646
l6;"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,13.2061029867985 52.6571362773373)";0.052800214;25.87210469;61.93240615;134.1855854;0.273848134;490;;l6;"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,13.2061029867985 52.6571362773373)";;;;;;;;;;l6;61.93240615;134.1855854
l7;"SRID=4326;LINESTRING(13.2061029867985 52.6571362773373,13.7096697058228 52.5397952580643)";0.04834369;23.68840822;50.58457914;181.007493;0.369403047;490;;l7;"SRID=4326;LINESTRING(13.2061029867985 52.6571362773373,13.7096697058228 52.5397952580643)";;;;;;;;;;l7;50.58457914;181.007493
l8;"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,13.7096697058228 52.5397952580643)";0.04309717;21.11761351;56.60205818;174.3476827;0.355811597;490;;l8;"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,13.7096697058228 52.5397952580643)";;;;;;;;;;l8;56.60205818;174.3476827
l9;"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.8132328973194 48.2212664654998)";0.032922582;16.13206538;16.13206538;16.13206538;0.032922582;490;;l9;"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.8132328973194 48.2212664654998)";;;;;;;;;;l9;16.13206538;16.13206538
l10;"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.8681562938884 48.2068029185353)";0.054026387;91.84485832;111.368921;111.9313786;0.065841987;1700;;l10;"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.8681562938884 48.2068029185353)";;;;;;;;;;l10;111.368921;111.9313786
